Time,Channel A,Channel B
(µs),(mV),(A)
-5.000000000,-79.875752115,2.779603485
-4.995000000,958.430972069,-4.064451291
-4.990000000,1717.715528938,-0.190430356
-4.985000000,1447.706288595,-0.098018247
-4.980000000,-541.014901561,2.515777406
-4.975000000,142.396604231,-9.678783682
-4.970000000,1742.071139967,-1.615376287
-4.965000000,-1272.704204588,-6.290971262
-4.960000000,-1303.863402240,10.568935952
-4.955000000,1296.272048270,-13.560220602
-4.950000000,3541.984992374,7.561787740
-4.945000000,-6833.941617334,-5.353405866
-4.940000000,-206.353437869,8.738954453
-4.935000000,-1710.576293471,-10.942556150
-4.930000000,491.125069267,1.295757488
-4.925000000,-897.021794871,-10.582756398
-4.920000000,-350.723373035,5.612055726
-4.915000000,794.468160912,2.821938106
-4.910000000,369.345795319,-0.833367654
-4.905000000,1473.382444297,-4.360219426
-4.900000000,-1095.784778216,-10.723618799
-4.895000000,-2082.537706889,3.247348234
-4.890000000,-3775.745389593,-2.120617137
-4.885000000,-288.255872093,4.569777215
-4.880000000,-557.278804695,7.862626279
-4.875000000,-819.558067490,-7.875112229
-4.870000000,776.499430291,-0.905994682
-4.865000000,-2035.620571281,6.702760547
-4.860000000,-943.637205922,-4.411575196
-4.855000000,2047.411721116,5.180026085
-4.850000000,-2149.776190555,-8.472544857
-4.845000000,-1161.599166000,11.158756323
-4.840000000,2587.055338799,2.728198834
-4.835000000,4151.855596884,6.748662448
-4.830000000,-4691.947810022,3.217706798
-4.825000000,-2794.571412824,0.296584274
-4.820000000,-73.878210674,11.959013407
-4.815000000,120.350977630,4.657889499
-4.810000000,-312.303284551,9.193133529
-4.805000000,-170.387183481,4.172220816
-4.800000000,-5341.711943035,-2.842878904
-4.795000000,-1274.938955421,8.237145433
-4.790000000,-3936.429571317,-5.511867806
-4.785000000,-2018.751497892,-1.712512140
-4.780000000,1638.519892241,-4.952916140
-4.775000000,-938.982739680,4.565314758
-4.770000000,431.268054319,8.802177143
-4.765000000,-1410.316191056,7.974265502
-4.760000000,2134.692233483,-4.730950717
-4.755000000,-5504.039751844,-14.706227565
-4.750000000,1203.713473814,-2.011966549
-4.745000000,-1367.180318511,-12.117325094
-4.740000000,-990.861100388,8.062957576
-4.735000000,2565.341296243,7.757135528
-4.730000000,-1864.419258752,-6.589367107
-4.725000000,1737.846542978,-7.743038929
-4.720000000,-1821.472759729,0.946675694
-4.715000000,1852.639837348,-3.432510475
-4.710000000,1055.900690178,-2.741472184
-4.705000000,575.795697574,-2.917163250
-4.700000000,43.240051864,-7.573764319
-4.695000000,1259.558378399,-2.508113182
-4.690000000,1779.524488452,3.240216748
-4.685000000,-9.497717298,-8.564115487
-4.680000000,1765.123820657,-0.124588590
-4.675000000,-2508.091698123,-4.880111098
-4.670000000,-1749.974900047,-5.347473546
-4.665000000,435.544271391,5.020335374
-4.660000000,4512.371736007,19.064890232
-4.655000000,-1212.494106173,7.357627770
-4.650000000,-38.244787255,-3.543325079
-4.645000000,-1540.799302164,-12.807918579
-4.640000000,-3452.973307459,8.913661926
-4.635000000,744.923854025,9.639896658
-4.630000000,-756.257545996,0.772177036
-4.625000000,799.600829834,-2.366270882
